CylinderConfiguration,Price,PriceType,SimpleAge,SellerType,Make,Model,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating
8,14500,FIXED,1h,Dealer used,Ford,(4x4),Ute,1987,94238,Manual,4x4,Petrol - Unleaded,Other,FALSE,2,2.5
4,300,FIXED,3h,Private seller,Holden,7 LS ACTIVE (FWD),SUV,2015,100000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5
6,37888,DRIVE_AWAY,19h,Dealer used,Toyota,GXL (4x4),SUV,2017,95923,Automatic,All Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5
4,5499,DRIVE_AWAY,1h,Dealer used,Mazda,MAXX,Hatchback,2009,164542,Manual,Front Wheel Drive,Petrol - Unleaded,Green,TRUE,5,4.5
6,29990,FIXED,3h,Dealer used,Toyota,GRANDE (4x2),SUV,2014,141000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5
4,4999,FIXED,4h,Dealer used,Peugeot,XSR HDi,Hatchback,2005,188982,Manual,Front Wheel Drive,Diesel,Burgundy,TRUE,4,3.5
4,5999,FIXED,4h,Dealer used,Toyota,Hilux,Ute,1999,0,Manual,Rear Wheel Drive,Diesel,White,FALSE,5,3
4,9999,FIXED,1h,Dealer used,Holden,LX (4x4),Ute,2007,268057,Manual,4x4,Diesel,Silver,TRUE,5,4
4,16980,DRIVE_AWAY,1h,Dealer used,Kia,Si PREMIUM (FWD),SUV,2015,119305,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4
4,17999,FIXED,3h,Dealer used,Toyota,GTS,Coupe (2 door),2012,143483,Manual,Rear Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,4
6,18990,DRIVE_AWAY,1h,Dealer used,Ford,Falcon,Ute,2010,87161,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,4,2.5
4,5249,DRIVE_AWAY,1h,Dealer used,BMW,20i,Hatchback,2004,235000,Automatic,Rear Wheel Drive,Petrol - Unleaded,Grey,TRUE,,
4,10690,DRIVE_AWAY,1h,Dealer used,Holden,7 SX (FWD),SUV,2011,139628,Automatic,Front Wheel Drive,Diesel,White,TRUE,5,3
